language,market,campaign,negative_scope,negative_match_type,negative_keyword,reason
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","free download","Digital asset intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","template","Design-file intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","mockup","Design-file intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","EXACT","svg","File-format intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","EXACT","png","File-format intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","EXACT","psd","File-format intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","how to","Educational intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","EXACT","tutorial","Educational intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","EXACT","jobs","Employment intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","EXACT","careers","Employment intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","heat press machine","Equipment intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","card printer","Equipment intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","printing service","Finished-service intent"
"ALL","All proposed markets","Search EN Custom Aluminum Blanks","Campaign negative","EXACT","used","Second-hand intent"
"EN","English target countries","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","business card template","Design-file intent"
"EN","English target countries","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","business card design","Design-service intent"
"EN","English target countries","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","aluminum scrap","Scrap-material intent"
"EN","English target countries","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","vinyl blanks","Wrong material"
"EN","English target countries","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","wood blanks","Wrong material"
"EN","English target countries","Search EN Custom Aluminum Blanks","Campaign negative","PHRASE","plastic cards","Wrong material"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","free download","Digital asset intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","template","Design-file intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","mockup","Design-file intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","svg","File-format intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","png","File-format intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","psd","File-format intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","how to","Educational intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","tutorial","Educational intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","jobs","Employment intent"
