language,market,campaign,ad_group,status,final_url,path_1,path_2,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,description_1,description_2,description_3,description_4
"EN","English target countries (TBD)","Search EN Custom Aluminum Blanks","CR80 Cards","Paused","https://yushialumcraft.coze.site/product-cr80-aluminum-cards.html","aluminum","cr80-cards","Custom CR80 Aluminum Cards","CR80 Blanks Made for You","Customize Size and Finish","Coated Aluminum Card Blanks","Built Around Your Brief","Request a Custom Quote","Discuss Your Card Project","AlumCraft CR80 Blanks","Configure CR80 aluminum blanks by size, thickness, surface, edges, and packaging.","Share your artwork and print process. We review the details and prepare your quote.","Explore coated aluminum card blanks tailored to your application and receiving needs.","Request a quote for custom CR80 blanks built around your product brief."
"EN","English target countries (TBD)","Search EN Custom Aluminum Blanks","Custom Shapes","Paused","https://yushialumcraft.coze.site/product-custom-shape-blanks.html","aluminum","custom-shapes","Custom Shape Aluminum Blanks","Blanks From Your Drawing","Custom Outlines and Details","Your Shape Your Specifications","Coated Blanks for Your Project","Send a Drawing for Review","Request a Custom Quote","AlumCraft Custom Blanks","Turn a drawing, sample, or reference image into an aluminum blank tailored to your use.","Configure the outline, thickness, surface, holes, edges, labels, and packaging.","Share your print process and functional details. We will review them for a custom quote.","Explore custom-shape coated aluminum blanks and send your project for review."
"EN","English target countries (TBD)","Search EN Custom Aluminum Blanks","Oversized Blanks","Paused","https://yushialumcraft.coze.site/product-oversized-aluminum-blanks.html","aluminum","large-formats","Custom Oversized Blanks","Large Aluminum Blanks","Longer and Wider Formats","Customize Size and Surface","Built Around Your Artwork","Edges Holes and Packaging","Request an Oversized Quote","AlumCraft Aluminum Blanks","Configure a longer or wider aluminum blank around your artwork, print setup, and use.","Customize dimensions, surface, corners, holes, edge details, and protective packaging.","Share the required size and functional details. We will review the project for a quote.","Explore oversized coated aluminum blanks developed around your project requirements."
"EN","English target countries (TBD)","Search EN Custom Aluminum Blanks","Round & Specialty","Paused","https://yushialumcraft.coze.site/product-round-specialty-blanks.html","aluminum","round-blanks","Custom Round Aluminum Blanks","Round and Specialty Blanks","Circles Tags and Badges","Customize Diameter and Finish","Holes Slots and Edge Details","Built for Your End Use","Request a Custom Quote","AlumCraft Specialty Blanks","Configure circles, tags, badges, and specialty profiles around your artwork and use.","Customize diameter, thickness, surface, holes, slots, edges, labels, and packaging.","Send a drawing or sample with your attachment details. We will review it for a quote.","Explore round and specialty aluminum blanks tailored to your print and assembly needs."
"RO","Romania","Search RO Semifabricate Aluminiu","Carduri CR80","Paused","https://yushialumcraft.coze.site/ro/product-cr80-aluminum-cards.html","aluminiu","carduri-cr80","Carduri CR80 personalizate","Blankuri din aluminiu CR80","Dimensiuni și finisaj","Configurează cardul tău CR80","Detalii după proiectul tău","Cere ofertă personalizată","AlumCraft Carduri CR80","Pentru procesul tău de print","Configurați blankurile CR80 după dimensiuni, grosime, suprafață, margini și ambalare.","Trimiteți desenul și metoda de print. Analizăm detaliile și pregătim o ofertă.","Descoperiți blankuri din aluminiu acoperit, adaptate aplicației dumneavoastră.","Solicitați o ofertă pentru carduri CR80 configurate după cerințele proiectului."
"RO","Romania","Search RO Semifabricate Aluminiu","Forme Personalizate","Paused","https://yushialumcraft.coze.site/ro/product-custom-shape-blanks.html","aluminiu","forme-comanda","Forme din aluminiu la comandă","Blankuri cu forme speciale","Din desen în semifabricat","Contur și detalii adaptate","Suprafață și ambalare","Trimiteți desenul","Solicitați o ofertă","AlumCraft Forme Personalizate","Transformați desenul, mostra sau fotografia într-un blank din aluminiu adaptat utilizării.","Configurați conturul, grosimea, suprafața, găurile, marginile și ambalarea.","Spuneți-ne procesul de print și detaliile funcționale. Le analizăm pentru ofertă.","Descoperiți blankuri acoperite în forme personalizate și trimiteți proiectul."
"RO","Romania","Search RO Semifabricate Aluminiu","Formate Mari","Paused","https://yushialumcraft.coze.site/ro/product-oversized-aluminum-blanks.html","aluminiu","formate-mari","Blankuri mari din aluminiu","Formate supradimensionate","Dimensiuni personalizate","Suprafață și margini","Pentru proiecte mari","Detalii după desen","Solicitați o ofertă","AlumCraft Blankuri Mari","Configurați un blank mai lung sau mai lat după desen, procesul de print și utilizare.","Personalizați dimensiunile, suprafața, colțurile, găurile, marginile și ambalarea.","Trimiteți dimensiunile și detaliile funcționale. Analizăm proiectul pentru ofertă.","Descoperiți blankuri supradimensionate din aluminiu, adaptate proiectului dvs."
"RO","Romania","Search RO Semifabricate Aluminiu","Rotunde & Speciale","Paused","https://yushialumcraft.coze.site/ro/product-round-specialty-blanks.html","aluminiu","forme-rotunde","Blankuri rotunde aluminiu","Forme rotunde și speciale","Diametru personalizat","Orificii și prinderi","Finisaj după proiect","Pentru aplicația dvs.","Solicitați o ofertă","AlumCraft Forme Speciale","Configurați cercuri, etichete, insigne și profile speciale după desen și utilizare.","Personalizați diametrul, grosimea, suprafața, găurile, marginile și ambalarea.","Trimiteți un desen sau o mostră cu detaliile de prindere pentru analiza ofertei.","Descoperiți blankuri rotunde și speciale adaptate imprimării și asamblării."
"PL","Poland","Search PL Blanki Aluminiowe","Karty CR80","Paused","https://yushialumcraft.coze.site/pl/product-cr80-aluminum-cards.html","aluminium","karty-cr80","Personalizowane karty CR80","Aluminiowe blanki CR80","Wymiary i wykończenie","CR80 według projektu","Dopasuj powierzchnię","Poproś o wycenę","AlumCraft Karty CR80","Dla Twojego procesu druku","Skonfiguruj blanki CR80 według wymiarów, grubości, powierzchni, krawędzi i opakowania.","Prześlij rysunek i metodę druku. Przeanalizujemy szczegóły i przygotujemy wycenę.","Poznaj powlekane blanki aluminiowe dopasowane do zastosowania i procesu odbioru.","Poproś o wycenę kart CR80 skonfigurowanych według wymagań Twojego projektu."
"PL","Poland","Search PL Blanki Aluminiowe","Kształty na Wymiar","Paused","https://yushialumcraft.coze.site/pl/product-custom-shape-blanks.html","aluminium","wlasny-ksztalt","Blanki o własnym kształcie","Aluminium według rysunku","Kontur i detale na wymiar","Powierzchnia i opakowanie","Prześlij rysunek do analizy","Poproś o wycenę","AlumCraft Kształty Specjalne","Blank dopasowany do projektu","Zamień rysunek, próbkę lub zdjęcie w aluminiowy blank dopasowany do zastosowania.","Dopasuj kontur, grubość, powierzchnię, otwory, krawędzie, etykiety i opakowanie.","Opisz proces druku i funkcję produktu. Przeanalizujemy je przed przygotowaniem wyceny.","Poznaj powlekane blanki o własnym kształcie i prześlij projekt do analizy."
"PL","Poland","Search PL Blanki Aluminiowe","Duże Formaty","Paused","https://yushialumcraft.coze.site/pl/product-oversized-aluminum-blanks.html","aluminium","duze-formaty","Powiększone blanki aluminiowe","Duże formaty na wymiar","Rozmiar według projektu","Powierzchnia i krawędzie","Detale funkcjonalne","Opakowanie dopasowane","Poproś o wycenę","AlumCraft Duże Formaty","Skonfiguruj dłuższy lub szerszy blank według projektu, procesu druku i zastosowania.","Dopasuj wymiary, powierzchnię, narożniki, otwory, krawędzie i opakowanie ochronne.","Prześlij wymiary i detale funkcjonalne. Przeanalizujemy projekt przed wyceną.","Poznaj powiększone blanki aluminiowe opracowane według wymagań Twojego projektu."
"PL","Poland","Search PL Blanki Aluminiowe","Okrągłe & Specjalne","Paused","https://yushialumcraft.coze.site/pl/product-round-specialty-blanks.html","aluminium","okragle-blanki","Okrągłe blanki aluminiowe","Formaty okrągłe i specjalne","Średnica na zamówienie","Otwory i mocowania","Wykończenie według projektu","Dla Twojego zastosowania","Poproś o wycenę","AlumCraft Formaty Specjalne","Skonfiguruj koła, zawieszki, plakietki i profile specjalne według projektu i zastosowania.","Dopasuj średnicę, grubość, powierzchnię, otwory, krawędzie, etykiety i opakowanie.","Prześlij rysunek lub próbkę z detalami mocowania. Przeanalizujemy ją przed wyceną.","Poznaj okrągłe i specjalne blanki dopasowane do procesu druku i montażu."
