language,market,campaign,ad_group,match_type,keyword,final_url
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,CR80 Cards,PHRASE,aluminum card blanks,https://yushialumcraft.coze.site/product-cr80-aluminum-cards.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,CR80 Cards,EXACT,aluminum card blanks,https://yushialumcraft.coze.site/product-cr80-aluminum-cards.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,CR80 Cards,PHRASE,cr80 aluminum blanks,https://yushialumcraft.coze.site/product-cr80-aluminum-cards.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,CR80 Cards,EXACT,cr80 aluminum blanks,https://yushialumcraft.coze.site/product-cr80-aluminum-cards.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,CR80 Cards,PHRASE,custom aluminum card blanks,https://yushialumcraft.coze.site/product-cr80-aluminum-cards.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,CR80 Cards,PHRASE,coated aluminum card blanks,https://yushialumcraft.coze.site/product-cr80-aluminum-cards.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Custom Shapes,PHRASE,custom shape aluminum blanks,https://yushialumcraft.coze.site/product-custom-shape-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Custom Shapes,EXACT,custom shape aluminum blanks,https://yushialumcraft.coze.site/product-custom-shape-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Custom Shapes,PHRASE,custom die cut aluminum blanks,https://yushialumcraft.coze.site/product-custom-shape-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Custom Shapes,EXACT,custom cut aluminum blanks,https://yushialumcraft.coze.site/product-custom-shape-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Custom Shapes,PHRASE,custom sublimation blanks,https://yushialumcraft.coze.site/product-custom-shape-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Custom Shapes,PHRASE,aluminum blanks custom shape,https://yushialumcraft.coze.site/product-custom-shape-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Oversized Blanks,PHRASE,oversized aluminum blanks,https://yushialumcraft.coze.site/product-oversized-aluminum-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Oversized Blanks,EXACT,oversized aluminum blanks,https://yushialumcraft.coze.site/product-oversized-aluminum-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Oversized Blanks,PHRASE,large aluminum sublimation blanks,https://yushialumcraft.coze.site/product-oversized-aluminum-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Oversized Blanks,EXACT,large format aluminum blanks,https://yushialumcraft.coze.site/product-oversized-aluminum-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Oversized Blanks,PHRASE,custom size aluminum blanks,https://yushialumcraft.coze.site/product-oversized-aluminum-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Oversized Blanks,PHRASE,long aluminum blanks,https://yushialumcraft.coze.site/product-oversized-aluminum-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Round & Specialty,PHRASE,round aluminum blanks,https://yushialumcraft.coze.site/product-round-specialty-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Round & Specialty,EXACT,round aluminum blanks,https://yushialumcraft.coze.site/product-round-specialty-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Round & Specialty,PHRASE,round sublimation blanks,https://yushialumcraft.coze.site/product-round-specialty-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Round & Specialty,EXACT,custom round aluminum blanks,https://yushialumcraft.coze.site/product-round-specialty-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Round & Specialty,PHRASE,round badge blanks,https://yushialumcraft.coze.site/product-round-specialty-blanks.html
EN,English target countries (TBD),Search EN Custom Aluminum Blanks,Round & Specialty,PHRASE,specialty aluminum blanks,https://yushialumcraft.coze.site/product-round-specialty-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Carduri CR80,PHRASE,semifabricate aluminiu cr80,https://yushialumcraft.coze.site/ro/product-cr80-aluminum-cards.html
RO,Romania,Search RO Semifabricate Aluminiu,Carduri CR80,EXACT,semifabricate aluminiu cr80,https://yushialumcraft.coze.site/ro/product-cr80-aluminum-cards.html
RO,Romania,Search RO Semifabricate Aluminiu,Carduri CR80,PHRASE,carduri aluminiu cr80,https://yushialumcraft.coze.site/ro/product-cr80-aluminum-cards.html
